지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),합계 일조시간(hr)
90,속초,1995-01,.1,4.5,-4.1,11,11,,217.8
90,속초,1995-02,2.1,6.4,-1.6,45,20.4,,166.2
90,속초,1995-03,5.2,9.2,1.3,110.4,30.3,,179.5
90,속초,1995-04,11.5,16.1,6.8,27.3,8.4,3.7,264.8
90,속초,1995-05,15.8,19.9,11.1,18.1,9.9,3.1,244.6
90,속초,1995-06,17.7,20,14.8,107,44.7,8.8,104.9
90,속초,1995-07,23.9,27.2,20.7,176.6,48.3,10.5,184.6
90,속초,1995-08,25.4,29,22,441.7,102,22.5,135.2
90,속초,1995-09,19.4,23.7,15.2,142.7,78,21.4,175.6
90,속초,1995-10,15.6,20.4,10.9,6.4,2.4,2.3,196.8
90,속초,1995-11,8.4,13.6,3,8.8,4.2,,198.5
90,속초,1995-12,1.1,6,-3.1,2.5,2.5,,182.5
90,속초,1996-01,-.4,4.2,-4.8,23.5,11.8,,185.7
90,속초,1996-02,.1,4.5,-4.4,114.2,51.3,,164.1
90,속초,1996-03,4,8.1,-.1,75.1,25.2,,143.7
90,속초,1996-04,11.2,15.9,6.1,64.9,38.4,9.8,262.2
90,속초,1996-05,14.2,18.9,10.4,20.2,5.6,3.3,151.1
90,속초,1996-06,18,21.5,15.4,356.5,174.5,43.4,107.6
90,속초,1996-07,22,25.7,18.8,189.4,77.7,17.5,128.3
90,속초,1996-08,23,26,19.7,200,64.1,10.7,135.8
90,속초,1996-09,20.2,24.4,16,42,20.3,12.6,212.3
90,속초,1996-10,14.5,19.1,10.1,77.7,22.4,6.4,159.3
90,속초,1996-11,7.4,11.8,3,66,26.8,,132.7
90,속초,1996-12,3.8,8.5,-.5,20.1,14.2,,170.6
90,속초,1997-01,-.4,4.5,-4.6,59.9,33.5,,187
90,속초,1997-02,2,6.7,-2,34.4,18.8,,158.1
90,속초,1997-03,7,12,2.3,43.6,24.2,,199.2
90,속초,1997-04,12.7,17.2,8.6,45.4,26.3,4,193.4
90,속초,1997-05,16.2,20.5,12,355.6,142.3,25.9,135
90,속초,1997-06,19.8,23.1,16.5,113,49.2,13.2,110.7
90,속초,1997-07,24.2,27.8,20.7,73.3,58.4,19.3,218.3
90,속초,1997-08,24.7,29,21.4,60.3,23.8,9.6,170.5
90,속초,1997-09,18.4,22.6,14.6,322.4,92.5,33.2,187.6
90,속초,1997-10,14.3,19.2,9.3,39.7,22.5,11.7,240.5
90,속초,1997-11,9.5,13.6,5.9,153.9,44.6,,139.9
90,속초,1997-12,3,6.8,-.8,101,31.6,,154.2
90,속초,1998-01,-.1,3.8,-3.5,47.6,11.5,,161.7
90,속초,1998-02,2.8,6.7,-.7,69,26.8,,132.3
90,속초,1998-03,8.6,13.3,3.9,12.6,8.9,,215.5
90,속초,1998-04,13.4,17,9.8,101.2,37.2,7.2,159.2
90,속초,1998-05,17,21.2,12.6,67.2,32.2,11.4,255.1
90,속초,1998-06,18.4,21.3,16,199,49.7,15,118.8
90,속초,1998-07,21.6,23.7,19.8,550.6,194,29.1,50.1
90,속초,1998-08,23.1,26.1,20.9,376.5,97.3,29.5,125.1
90,속초,1998-09,21.1,24.7,17.6,175,71,26,157.1
90,속초,1998-10,16.8,20.8,13.1,81.9,29.3,17.5,167.2
90,속초,1998-11,8.9,13.2,4.6,65.6,39.8,,187.5
90,속초,1998-12,4.6,8.3,.7,51.5,32.7,,190.4
90,속초,1999-01,1.8,5.9,-2.3,1.1,.7,,202.9
90,속초,1999-02,3,7.2,-1.1,4.2,3.8,,186.6
90,속초,1999-03,5.6,9.8,1.3,55.8,28.4,,182.9
90,속초,1999-04,11.5,15.7,7.1,158.5,60.6,9,207.9
90,속초,1999-05,17,21.5,12.8,167.6,106.3,14.3,237.5
90,속초,1999-06,20.8,24.6,17.5,78.8,51.6,8.3,187
90,속초,1999-07,23.1,25.9,20.7,152.1,60,22.9,127.4
90,속초,1999-08,23.3,26.1,21.1,515.2,151.4,31,128.4
90,속초,1999-09,21.5,24.7,18.5,431.4,195.7,22.3,140.9
90,속초,1999-10,14.9,19.3,11,76.6,24.4,4.6,157.1
90,속초,1999-11,9.3,13.4,5.4,78.3,33.1,,174.2
90,속초,1999-12,3.1,7,-.8,2.4,1.3,,186.5
90,속초,2000-01,-.4,3.2,-4,90.2,31.5,,150
90,속초,2000-02,-.1,4.1,-4.4,8.4,8.3,,225.7
90,속초,2000-03,6.9,11.5,2.1,8.7,4.9,,206.3
90,속초,2000-04,11.2,16,6.5,23.4,9.5,3.8,200.9
90,속초,2000-05,14.3,18.8,10.7,71,21.1,7,156.8
90,속초,2000-06,19.2,23.2,15.6,175.7,49.2,10.7,202.5
90,속초,2000-07,24.8,28.8,21.5,109.2,60.5,8.8,198.3
90,속초,2000-08,24,27.2,21.6,440.3,93.3,26.7,139.3
90,속초,2000-09,18.6,22.1,15.5,347.2,66.9,18,155.9
90,속초,2000-10,14.5,18.5,10.3,7,5.5,1.5,165.4
90,속초,2000-11,7.8,11.7,3.3,58.3,35.1,,155
90,속초,2000-12,3.2,7.4,-1.3,5.8,2.6,,189.6
90,속초,2001-01,-2.3,1.2,-5.8,37.6,25,,166.6
90,속초,2001-02,1.2,5.3,-2.7,64.4,20.1,,153.4
90,속초,2001-03,5.6,10.1,1.1,20.8,10.5,,171.6
90,속초,2001-04,12.3,17.2,7.1,14.1,11.2,1.6,215.1
90,속초,2001-05,17.2,22.2,13.5,7.2,2.5,1.2,209.3
90,속초,2001-06,20,23.6,17,126.6,41.2,14.5,132.7
90,속초,2001-07,23.4,27.1,20.1,233.3,99.1,18.6,169.2
90,속초,2001-08,22.4,26.3,18.8,56.9,21.5,12.5,185.9
90,속초,2001-09,20,24.1,15.9,311.5,73.7,24.7,154.5
90,속초,2001-10,15.9,20.3,12,234.9,80.4,24.8,124.1
90,속초,2001-11,8.8,13.3,4,36.7,35.2,,185.2
90,속초,2001-12,1.4,5.5,-2.3,20.2,15.5,,188
90,속초,2002-01,.8,5,-2.9,87.1,35.7,,159.5
90,속초,2002-02,4.2,8.7,-.4,.6,.5,,180.2
90,속초,2002-03,8.7,13.5,3.6,14.1,6.9,,187.2
90,속초,2002-04,12.2,17.2,7.6,58.5,27,7.5,222.8
90,속초,2002-05,15.6,20.1,11.1,78.2,34,11.5,214.6
90,속초,2002-06,19.5,24,15.5,66.5,20.5,10,213.2
90,속초,2002-07,21.9,25.5,19.2,301.4,92.5,45.5,105.2
90,속초,2002-08,22.7,26,20.4,531.2,295.5,45.5,104
90,속초,2002-09,19.1,23.3,15.3,225.9,120.5,59,158.2
90,속초,2002-10,13,17.7,8.6,42.8,19,4,172.4
90,속초,2002-11,5.1,9.6,.7,4,1.5,,189
90,속초,2002-12,1.2,4.9,-2.6,140,30.5,,127.1
90,속초,2003-01,-1.6,2.6,-5.9,34.7,12.5,,171.3
90,속초,2003-02,1.6,5.4,-2.1,63.6,26,,124
90,속초,2003-03,4.5,8.8,.8,56.8,21,,149.9
90,속초,2003-04,11,16.1,6.4,136.1,46,8,172.5
90,속초,2003-05,14.8,19,11.3,111.5,98,14,174.3
90,속초,2003-06,20.3,24.3,17.1,132.1,58,10,151.3
90,속초,2003-07,20.8,23.7,18.6,258,113.5,26,90.1
90,속초,2003-08,22.5,26,19.6,349.2,67.5,17.5,120
90,속초,2003-09,19.7,23.6,16.2,425.4,121,28.5,115.2
90,속초,2003-10,14.1,19,9.3,51.6,26,5.5,187.2
90,속초,2003-11,9.3,12.6,5.4,278.2,52.5,,107.5
90,속초,2003-12,2.9,7,-1.2,1.8,1.5,,207.8
90,속초,2004-01,.5,4.6,-3.3,25,16.5,,206.8
90,속초,2004-02,3.6,7.9,-.5,26.7,16.5,,197.6
90,속초,2004-03,6.9,11.5,2.1,1.8,1.5,,237.6
90,속초,2004-04,12.7,18.8,7.5,104.4,48.5,9,228.2
90,속초,2004-05,16.7,21.9,12.3,46.7,21.5,4,204.7
90,속초,2004-06,20.8,25.2,17.1,99.7,51,14,191.8
90,속초,2004-07,23.9,27.3,21.1,554,241,69,128.8
90,속초,2004-08,23.1,26.6,20.1,460.3,134.5,27,151.4
90,속초,2004-09,20.1,24,16.8,200.1,86,20,161.3
90,속초,2004-10,14.8,19.5,10.2,16.9,16.5,5,201.9
90,속초,2004-11,10.6,14.9,6.2,39.5,11.5,,184.2
90,속초,2004-12,4.2,8.7,.1,12.2,5,,179.4
90,속초,2005-01,-.1,3.9,-4.2,28.4,12.5,,204.6
90,속초,2005-02,-.8,3.1,-4.8,52.4,35,,165.1
90,속초,2005-03,4.2,8.4,-.2,102.5,41.1,,223.2
90,속초,2005-04,12.8,17.5,7.9,47.9,17.5,6.5,221.9
90,속초,2005-05,14.4,19.3,10.4,122.7,89.5,8,219.6
90,속초,2005-06,20.6,24.8,17.4,151.2,105,16.5,174.2
90,속초,2005-07,24,27.5,21.3,185.2,45,12,166.4
90,속초,2005-08,25,28.8,21.9,246.9,95,19.5,168
90,속초,2005-09,20,23.6,16.7,263.9,69,16,131
90,속초,2005-10,15,19.6,10.5,114.8,59.5,32,174.4
90,속초,2005-11,9.8,14.2,5.7,32.9,25,,192.5
90,속초,2005-12,-1.4,2.8,-5.9,.4,.4,,195.2
90,속초,2006-01,.2,3.9,-3.3,37.1,15.5,,145
90,속초,2006-02,1.5,5.8,-2.7,18.3,7.5,,171
90,속초,2006-03,6,10.9,.9,9.3,3.5,,216.8
90,속초,2006-04,9.5,13.7,6.1,90.2,40,11.5,137.9
90,속초,2006-05,14.4,19.6,10.5,141.7,76.5,14,154.9
90,속초,2006-06,18.4,21.9,15.6,129,55.5,14.5,102.4
90,속초,2006-07,21,24.1,18.8,545,104,33.5,46.6
90,속초,2006-08,25.2,28.7,22.2,109.3,57.5,9.5,171
90,속초,2006-09,19.1,23.3,15.1,112.4,40,13,133.5
90,속초,2006-10,17.1,21.2,13.3,285.5,232,43,150
90,속초,2006-11,8.5,12.3,4.6,84,39.5,,147.6
90,속초,2006-12,2,6.6,-1.8,47.4,17.9,,172
90,속초,2007-01,.7,5,-2.9,23.3,15.5,,171.3
90,속초,2007-02,4.1,8.7,-.7,7.2,4,,154.6
90,속초,2007-03,6.6,11,2.5,112.6,32,,181.9
90,속초,2007-04,11.7,16.1,7.4,27.4,6.5,3,180.2
90,속초,2007-05,17.1,21.9,13.1,102.1,20.5,7,199.3
90,속초,2007-06,20.3,24.6,16.4,52.3,13,5.5,209.3
90,속초,2007-07,22.1,24.8,19.9,212.8,51.5,11.5,88.2
90,속초,2007-08,24.9,28.9,21.9,206.8,87,18,139.1
90,속초,2007-09,20.7,24.3,17.8,397.8,83,16.5,78
90,속초,2007-10,15.3,19.9,11.6,87.3,46.5,8.5,152.9
90,속초,2007-11,8.4,13.2,4.2,33.9,21.5,,166.4
90,속초,2007-12,3.5,7.7,.1,1.2,.7,,171.1
90,속초,2008-01,.3,4.3,-3.4,71.1,24,,161.5
90,속초,2008-02,1.3,5.8,-2.9,.6,.5,,216
90,속초,2008-03,7.3,11.4,3,103.9,56,,156
90,속초,2008-04,13.1,17.4,8.7,13.5,6,2,210.8
90,속초,2008-05,16.8,21.7,12.7,70,31.5,7,205.1
90,속초,2008-06,18.7,22.5,15.3,91.3,23.5,6.5,174.1
90,속초,2008-07,25.3,28.9,22.5,361.6,148,23,154
90,속초,2008-08,23.4,26.8,20.2,343.1,95.5,17,188.7
90,속초,2008-09,20.7,24.6,17,129.9,89.5,12,196.3
90,속초,2008-10,16.8,21.3,12.5,73.5,48.5,21.5,208.6
90,속초,2008-11,9.1,12.8,5.1,78.5,32.5,,169.7
90,속초,2008-12,3.6,7.6,-.7,78,42.7,,183.8
90,속초,2009-01,.2,4.6,-3.7,29,21.5,,212.6
90,속초,2009-02,4.5,8.3,.8,27,11,,139.6
90,속초,2009-03,7,11,2.7,83.2,18,,181.8
90,속초,2009-04,12.8,17.4,8.1,111.2,53,8.5,237.6
90,속초,2009-05,17.7,22.6,13.3,50.5,17,5,226.5
90,속초,2009-06,20.2,24,16.7,181.1,67,25,169.2
90,속초,2009-07,21.7,25.3,19,405.2,149.5,28,133.9
90,속초,2009-08,23.1,26.4,19.9,247.3,127.5,27,148.2
90,속초,2009-09,20,24.4,16.1,20.5,7,3.5,187.8
90,속초,2009-10,16.3,21,11.9,29.8,15,6,230.7
90,속초,2009-11,8.2,12.2,4.3,220.6,78.5,,135.8
90,속초,2009-12,2,6.3,-2.1,14.7,8.5,,181.5
90,속초,2010-01,-.4,4,-4.7,41.5,17.5,,194.1
90,속초,2010-02,1.5,5.4,-2.3,113.5,28.8,,134.1
90,속초,2010-03,3.7,7.1,.6,152.1,40.5,,122.5
90,속초,2010-04,9.1,13.1,5.3,51.6,15.5,8,186.3
90,속초,2010-05,16,20.8,11.4,149.5,93,15,206.6
90,속초,2010-06,20.1,24.4,16.3,18,8.5,7,245.9
90,속초,2010-07,25,28.7,22.3,92.8,18,9,132.8
90,속초,2010-08,25.7,29.1,23.2,274.4,52.5,20.5,112.4
90,속초,2010-09,20.4,24.5,17.1,272,54,17,138.3
90,속초,2010-10,14.9,19.2,11.2,86.5,36.5,11.5,178.3
90,속초,2010-11,9.1,13.8,4.1,12,10,,222.9
90,속초,2010-12,2.8,7.5,-1.6,19.7,17,,191.5
90,속초,2011-01,-2.7,1.8,-7.2,12,8.8,,234
90,속초,2011-02,2.1,6,-2.2,105.6,38.1,,150.8
90,속초,2011-03,5.3,9.7,.9,20.4,7,,226.8
90,속초,2011-04,11.4,16.2,6.5,115.7,30,9.5,207.6
90,속초,2011-05,14.3,18.5,10.8,65.3,23.5,5,133
90,속초,2011-06,20.2,24.5,16.6,341.5,93.5,13,199.1
90,속초,2011-07,22.3,25.2,20.1,412.1,139,46.5,77.4
90,속초,2011-08,24.8,28.1,22.1,140.3,54.5,18,136.6
90,속초,2011-09,20.4,23.8,16.9,190.1,52.5,17.5,169.3
90,속초,2011-10,14.9,19.1,10.6,22.1,10.5,4,203.2
90,속초,2011-11,11,14.4,7.6,131.3,43,,118.7
90,속초,2011-12,1.3,5.1,-2.5,99.7,27.1,,186.7
90,속초,2012-01,-.4,3.4,-3.7,24.2,13,,186
90,속초,2012-02,.1,4.3,-4.4,22.7,16.8,,214.1
90,속초,2012-03,5.3,9.1,1.5,85.3,31,,176.8
90,속초,2012-04,12.1,16.5,7.7,133,65.5,9,199
90,속초,2012-05,16.4,20.3,13,46.1,13,8.5,172.7
90,속초,2012-06,19.8,22.6,17.4,76.2,32,25,126.2
90,속초,2012-07,23.9,27.6,21.3,244.3,72.5,22,153.5
90,속초,2012-08,24.4,27.3,22.1,212.5,53.5,11.5,82.1
90,속초,2012-09,19.6,23.1,16.4,233.5,175,28,168.9
90,속초,2012-10,15.8,20.1,11.2,25.6,10.5,4,241.2
90,속초,2012-11,7.6,11.6,3.4,70.1,41,,191.1
90,속초,2012-12,-.5,3.6,-4.2,44.2,34,,189.4
90,속초,2013-01,-.8,3.1,-4.6,77.3,32.9,,187.5
90,속초,2013-02,1.3,5.5,-3.1,16.1,10,,207.8
90,속초,2013-03,6.3,10.9,1.5,66.2,26.8,,227.1
90,속초,2013-04,10.3,14.7,5.7,49,34.5,4.5,213.6
90,속초,2013-05,16.9,21.1,13,80.1,31,8,243.9
90,속초,2013-06,20.4,23.2,18.1,32,16,10.5,152.1
90,속초,2013-07,25.6,29.1,22.9,292.7,102,29.5,161.7
90,속초,2013-08,27.4,30.9,24.1,174.6,93.5,37,232.5
90,속초,2013-09,20.3,23.6,17.1,175.3,46.5,16,161.9
90,속초,2013-10,15.7,19.6,11.5,66.4,31.5,8,224.1
90,속초,2013-11,8.4,12.1,4.3,23.3,8,,223
90,속초,2013-12,2.7,6.2,-.9,62.7,38,,204.1
90,속초,2014-01,1.9,5.7,-2.6,29.3,14.1,,200.9
90,속초,2014-02,1,4.5,-2.3,168.2,44.6,,110.5
90,속초,2014-03,7.9,12.2,3.2,40.4,15.1,,213.9
90,속초,2014-04,13.3,17.6,8.8,98.8,41,10.5,218.6
90,속초,2014-05,18.1,23.4,13.5,25,11,7,275.9
90,속초,2014-06,19.9,23.3,17.5,41.9,8,4,149.9
90,속초,2014-07,25.1,28.7,21.7,126.9,46,19,251.3
90,속초,2014-08,23.5,26.6,20.7,296.1,73.5,19,160.2
90,속초,2014-09,20.6,24.5,17,181,138,19.5,194.8
90,속초,2014-10,15.8,20,11.2,39.6,21,4.5,212.6
90,속초,2014-11,10.2,14.1,6.3,51.6,25,,173.4
90,속초,2014-12,.6,4.6,-3.7,.2,.2,,224
90,속초,2015-01,1.8,5.6,-2.1,8.7,4,,185.6
90,속초,2015-02,2.4,6.1,-1.4,32.1,16,,189.3
90,속초,2015-03,6.6,11.5,1.7,8,5.5,,275.9
90,속초,2015-04,11.1,15.1,7,74.2,21,8.5,185.4
90,속초,2015-05,17.8,22.9,12.9,9.2,3,2,298.6
90,속초,2015-06,19.5,23.2,16.4,127.7,114.5,15.5,191
90,속초,2015-07,22.7,26.1,19.8,163.1,48,16,171.2
90,속초,2015-08,24.2,28,20.7,198.6,59,56.5,193.5
90,속초,2015-09,19.1,23.1,15.3,13.5,4,2,219
90,속초,2015-10,14.7,19.3,10.2,27.4,14.8,9.6,240.6
90,속초,2015-11,8.4,11.5,5.5,463.5,67.5,,98.6
90,속초,2015-12,3,6.8,-1,1.7,1.3,,164.9
90,속초,2016-01,-1.2,2.7,-5.3,6.6,3.7,,191.1
90,속초,2016-02,.8,4.3,-3,38.3,13.4,,197.6
90,속초,2016-03,7,11.4,2.4,31.8,18.2,,209.6
90,속초,2016-04,12.6,17.8,7.6,77.5,32.3,13.2,222.9
90,속초,2016-05,17.2,22.6,12.5,35.7,20.5,2.9,261.1
90,속초,2016-06,20.6,24.3,17.5,62.2,30.9,13.6,175.3
90,속초,2016-07,22.9,25.8,20.7,477.8,206.4,20.3,119.2
90,속초,2016-08,25.5,29.3,22.1,186.9,65.4,18.3,220.7
90,속초,2016-09,20.4,23.6,17.5,126,41.8,40,130
90,속초,2016-10,15.3,19,11.5,128.5,52.3,16.6,140.8
90,속초,2016-11,8.4,12.6,4,40.8,17.3,,172.2
90,속초,2016-12,4.4,8.4,.3,121.7,36.2,,164.8
90,속초,2017-01,.8,5,-3.3,82.4,29.3,,215.4
90,속초,2017-02,3,7.5,-1.7,3.2,3.2,,222.2
90,속초,2017-03,7,11.4,2.6,48.7,11.8,,199.8
90,속초,2017-04,14.8,20.1,9.8,46.8,17.1,6.5,255.2
90,속초,2017-05,18.7,23.8,13.8,25.2,9.8,6.9,272.3
90,속초,2017-06,19.8,23.8,15.9,69.7,15,6.8,204.7
90,속초,2017-07,25.6,29.1,22.5,270.3,67.6,32.4,165.4
90,속초,2017-08,23.7,26.7,21.1,424.9,89.4,45.3,107.2
90,속초,2017-09,20.8,25.1,16.1,50.5,28.8,24.1,249.2
90,속초,2017-10,14.5,18.8,10.5,135.4,38.8,20.3,157.7
90,속초,2017-11,7.8,12.3,2.9,41.2,20.9,,218.5
90,속초,2017-12,.7,4.7,-3.6,9.9,9.4,,230.3
90,속초,2018-01,-1.4,2.8,-5.6,3.9,2.4,,214.7
90,속초,2018-02,-.5,3.9,-4.9,54.4,49,,218.5
90,속초,2018-03,8,12.5,3,55,22,,171.2
90,속초,2018-04,13,18.8,7.5,141.7,56.8,6.3,227.6
90,속초,2018-05,15.9,20.7,11.6,123.6,47.3,14.1,186.4
90,속초,2018-06,21.3,25.9,17.4,46.5,18.6,12.4,208.8
90,속초,2018-07,25,28.7,22.1,185.4,53.2,12.3,209.3
90,속초,2018-08,25.6,29.2,22.4,625,226.2,70.1,185.3
90,속초,2018-09,20,23.8,16.2,66.1,24.4,8.5,196.1
90,속초,2018-10,13.5,17.9,9,257.6,130,28.9,229.5
90,속초,2018-11,9.2,13.3,5.3,207.4,152.8,,165.7
90,속초,2018-12,1.6,5.8,-2.4,10.4,7.1,,208
90,속초,2019-01,1.7,6.3,-3,8.7,8.7,,232.1
90,속초,2019-02,2.5,6.5,-1.7,27.6,13.6,,215.2
90,속초,2019-03,8.2,13.1,3.1,44.4,12.3,,233.1
90,속초,2019-04,11.9,16.6,6.9,80.9,31.2,4.6,230.5
90,속초,2019-05,19.8,25,14.7,5.7,4,2.6,296.2
90,속초,2019-06,20,24.1,16.6,97.8,44,18.6,224.8
90,속초,2019-07,24.7,28,21.8,234.4,92.5,26.9,196
90,속초,2019-08,25.7,29.4,22.7,293.5,203.7,37,230.7
90,속초,2019-09,20.9,24.7,17.5,209.9,58.8,12.8,145.2
90,속초,2019-10,16.1,20,12.1,185.5,78.8,19.5,157.7
90,속초,2019-11,9.4,13.9,5.2,157.3,71.1,,186.9
90,속초,2019-12,4.2,8.4,-.2,9.8,9.8,,194.7
90,속초,2020-01,3.4,7.2,.3,148.1,58.6,,163.3
90,속초,2020-02,4.1,8,-.2,55.8,24.1,,194.1
90,속초,2020-03,7.9,12.6,2.7,38,20.7,,263.7
90,속초,2020-04,11.3,16.1,6.3,38.4,18.1,6.7,256
90,속초,2020-05,17.1,21.6,13.3,245.1,140,25.8,218.5
90,속초,2020-06,22.2,26.4,18.3,271.9,214.6,30.9,238.7
90,속초,2020-07,21.6,24.7,19,374.7,115.5,35.9,168.5
90,속초,2020-08,25.7,29.6,22.8,411.3,127.9,31.3,128.4
90,속초,2020-09,20.1,23.8,16.8,482.8,192.5,51.8,152.5
90,속초,2020-10,14.3,19,9.7,0,0,0,231.3
90,속초,2020-11,10,14.4,5.4,19.2,15.3,,204.5
90,속초,2020-12,1.8,6,-2.5,.5,.5,,228.4
90,속초,2021-01,-1.2,2.9,-5.5,0,0,,200.4
90,속초,2021-02,3.1,7.7,-1.5,5,4.8,,214.2
90,속초,2021-03,8,12.6,3.7,104.2,73.4,,209
90,속초,2021-04,12.3,16.6,7.8,97.2,40.5,5.9,228.4
90,속초,2021-05,16.7,21.5,12.1,154.9,67,12.1,239.6
90,속초,2021-06,20.3,23.8,17.1,43.8,10.2,7.1,185.7
90,속초,2021-07,25.5,29.3,22.3,104.1,50.3,13.3,270
90,속초,2021-08,24.4,28,21.5,247.1,83.5,67.5,133
90,속초,2021-09,20.9,24.7,17.6,141.6,43.1,9.5,195.8
90,속초,2021-10,15.5,20,11.6,216.9,56.9,20.4,174
90,속초,2021-11,9.9,14.4,5.7,16.2,10.9,,208.2
90,속초,2021-12,2.8,7.2,-1.9,68.7,42.1,,219.8
90,속초,2022-01,-.6,3,-4.5,3.6,3.1,,227.2
90,속초,2022-02,.3,4.3,-3.9,11.1,8.1,,243.8
90,속초,2022-03,7.1,11.3,2.9,114.5,29.2,,189.4
90,속초,2022-04,14.2,19.1,8.8,33.5,15.6,2.7,269
90,속초,2022-05,18.5,23.7,13.1,9.1,7.7,2.9,312.7
90,속초,2022-06,20.9,24.7,17.6,248.7,75.4,22.8,169.6
90,속초,2022-07,24.3,27.7,21.9,213.1,87.2,15.9,135.5
90,속초,2022-08,24.6,28.4,21.3,323.7,110.9,23,151.1
90,속초,2022-09,20.3,24.8,16.3,263.8,119.4,14.6,203.7
90,속초,2022-10,13.9,18.2,10,377.1,76.8,21.7,153.8
90,속초,2022-11,11,16,6.3,38.4,9.8,0,198.8
90,속초,2022-12,-.2,4.1,-4.4,.7,.7,,233.5
90,속초,2023-01,.2,4.6,-4.3,94.7,47.7,,215.7
90,속초,2023-02,2.7,6.6,-1.6,43.4,26,,186.6
90,속초,2023-03,9.3,13.4,4.6,10.1,6.3,,224
90,속초,2023-04,12.6,17.4,8,57,28,5.4,212.2
90,속초,2023-05,17,21.8,12.6,81,48.4,6,232.6
90,속초,2023-06,21.9,26.2,17.9,200.1,38.2,14.6,244.9
90,속초,2023-07,25.8,30,22.8,108.2,29.4,27,184.5
90,속초,2023-08,24.7,28,22.2,669.6,368.7,91.3,121.9
90,속초,2023-09,21.7,25.1,18.5,208.2,76.8,18.7,156.6
90,속초,2023-10,16.4,21.2,11.5,31.4,18.7,6,218.1
90,속초,2023-11,8.8,13.6,4.2,60.1,27.7,,208.7
90,속초,2023-12,2.3,5.9,-2.3,205,66.6,,174
90,속초,2024-01,.6,4.6,-3.2,11.6,9.3,,203.4
90,속초,2024-02,1.9,5.7,-1.2,125.7,39.2,,109.7
90,속초,2024-03,5.7,10,1.3,58.6,18.5,,212.9
90,속초,2024-04,13.9,18.4,9.5,63.4,32.7,8.4,195.2
90,속초,2024-05,17.8,22.7,13,63.4,22.2,7,253.2
90,속초,2024-06,22.3,26.1,18.6,133.8,64.8,18.3,279.7
90,속초,2024-07,26.8,30.3,24,109.3,44.5,11.6,150.5
90,속초,2024-08,27.6,31.2,24.3,46.4,23.8,16.4,229
90,속초,2024-09,22.1,25.3,19.2,457.9,128.2,50.5,114.2
90,속초,2024-10,16.1,20.2,12.4,143.2,44.7,16.6,131.8
90,속초,2024-11,10.8,15.2,6.8,17.6,9.7,,169
90,속초,2024-12,3.1,7.2,-1,3.2,3.1,,222.3
93,북춘천,2016-10,14.1,20.9,8.6,112.1,39,20.5,185.3
93,북춘천,2016-11,5.1,11.2,-.5,13.2,5.5,,147.4
93,북춘천,2016-12,-.2,5.3,-5,83.1,49,,142.3
93,북춘천,2017-01,-3.4,3.3,-9.8,15.9,7.1,,204.2
93,북춘천,2017-02,-1.5,5.4,-8.2,11,3.5,,214.9
93,북춘천,2017-03,4.6,12.2,-2.3,17.9,11.5,,212.4
93,북춘천,2017-04,13.2,21,5.6,54.1,21,5,257.3
93,북춘천,2017-05,18.6,26.2,11.3,25.5,10.5,10.5,280.1
93,북춘천,2017-06,22.3,29.6,15.8,38.1,14.5,5.5,271.2
93,북춘천,2017-07,26.3,30.7,23,477.8,146.5,31,126.4
93,북춘천,2017-08,24.4,29.6,20.5,376.3,89,66.5,150.3
93,북춘천,2017-09,19.1,26.5,13,33.8,17,16.5,220.3
93,북춘천,2017-10,13.5,21,7.7,42.6,22.5,7,196.9
93,북춘천,2017-11,3.2,9.9,-3,15.9,6.9,,185.3
93,북춘천,2017-12,-4.3,1.5,-10.3,24.5,10.4,,183.8
93,북춘천,2018-01,-6,.6,-11.8,6.5,3.7,,203
93,북춘천,2018-02,-3.4,3.6,-10.3,33,28.5,,214.2
93,북춘천,2018-03,7,13.8,.2,32,11,,204.3
93,북춘천,2018-04,12,19.5,4.9,117.2,46.5,8,218.7
93,북춘천,2018-05,17.2,23.9,10.8,200.5,97,26.5,233.2
93,북춘천,2018-06,22.6,29.3,16.6,88.6,57.5,24.5,252.8
93,북춘천,2018-07,26.3,31.8,21.7,189.7,76.5,16.5,243.9
93,북춘천,2018-08,26.9,32.9,22.2,354.6,189.5,45,223
93,북춘천,2018-09,19.1,25.7,13.4,63,28,16,205.5
93,북춘천,2018-10,10.3,17.9,4.4,102.6,59.5,9,200.3
93,북춘천,2018-11,5.1,12.1,0,56.9,44.5,,148.2
93,북춘천,2018-12,-3.2,3.4,-8.7,17.3,8,,194.9
93,북춘천,2019-01,-3.9,4.2,-10.9,.2,.2,,228.9
93,북춘천,2019-02,-.6,5.9,-6.7,27.5,17.2,,201.8
93,북춘천,2019-03,5,12.3,-1.8,30.9,15.5,,199.4
93,북춘천,2019-04,10.6,18.3,3.3,49.7,16.4,7.6,205.8
93,북춘천,2019-05,18.3,26.6,10,31.4,16.1,3.4,298.6
93,북춘천,2019-06,21.4,27.8,15.5,88.7,25.2,15.6,235
93,북춘천,2019-07,25,29.9,21,252.2,85.7,24.3,140.5
93,북춘천,2019-08,25.6,31.2,21.2,186.6,68.6,33.1,220.9
93,북춘천,2019-09,20.7,26.5,16.2,147.9,54.4,38.8,138.1
93,북춘천,2019-10,14,20.7,8.3,48.4,17.8,4.6,189.2
